Plotter Mod: Quick Change;;;
Qty;Item;Price;Link
1;Pen max Ø10mm;-;-
1;Filament for Toolhead Mount;$0.27;https://eu.store.bambulab.com/de/products/pla-matte?id=43992833261787
1;Filament for Pen Mount;$0.16;https://eu.store.bambulab.com/de/products/pla-matte?id=43992833261787
;;;
;;;
Plotter Mod: Quick Change with Spring;;;
Qty;Item;Price;Link
1;Pen max Ø10mm;-;-
2;Springs Ø2mm;$2.83;https://de.aliexpress.com/item/1005005402501364.html?algo_pvid=27afa1af-da31-4bb0-82bb-a21111273fdf&algo_exp_id=27afa1af-da31-4bb0-82bb-a21111273fdf-0&pdp_ext_f=%7B%22order%22%3A%229334%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.74%212.74%21%21%2118.40%2118.40%21%40210393bd17862158894771673e0e3a%2112000032915794690%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ae7687ea0%3Bm03_new_user%3A-29895&curPageLogUid=LuUhygHJ7Kin&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005402501364%7C_p_origin_prod%3A
1;Filament for Toolhead Mount;$0.36;https://eu.store.bambulab.com/de/products/pla-matte?id=43992833261787
1;Filament for Pen Mount;$0.16;https://eu.store.bambulab.com/de/products/pla-matte?id=43992833261787
